
Posizione	Pressione
0,000000	0,30366
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
0,000000	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,31343
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,31343
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30366
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
6,250000E-5	0,30855
