"Tempo","Temperatura"
16.5500,292.5
16.5550,292.5
16.5600,292.5
16.5650,292.5
16.5700,292.5
16.5750,292.5
16.5800,292.5
16.5850,292.5
16.5900,292.6
16.5950,292.5
16.6000,292.5
16.6050,292.5
16.6100,292.5
16.6150,292.5
16.6200,292.5
16.6250,292.5
16.6300,292.5
16.6350,292.5
16.6400,292.5
16.6450,292.5
16.6500,292.5
16.6550,292.5
16.6600,292.5
16.6650,292.5
16.6700,292.5
16.6750,292.5
16.6800,292.5
16.6850,292.5
16.6900,292.5
16.6950,292.5
16.7000,292.5
16.7050,292.5
16.7100,292.5
16.7150,292.5
16.7200,292.5
16.7250,292.5
16.7300,292.5
16.7350,292.5
16.7400,292.5
16.7450,292.5
16.7500,292.5
16.7550,292.5
16.7600,292.5
16.7650,292.5
16.7700,292.4
16.7750,292.4
16.7800,292.5
16.7850,292.5
16.7900,292.4
16.7950,292.4
16.8000,292.4
16.8050,292.4
16.8100,292.5
16.8150,292.4
16.8200,292.4
16.8250,292.4
16.8300,292.4
16.8350,292.4
16.8400,292.4
16.8450,292.4
16.8500,292.4
16.8550,292.4
16.8600,292.4
16.8650,292.4
16.8700,292.4
16.8750,292.4
16.8800,292.4
16.8850,292.4
16.8900,292.4
16.8950,292.4
16.9000,292.4
16.9050,292.4
16.9100,292.4
16.9150,292.4
16.9200,292.4
16.9250,292.4
16.9300,292.4
16.9350,292.4
16.9400,292.4
16.9450,292.4
16.9500,292.4
16.9550,292.4
16.9600,292.4
16.9650,292.4
16.9700,292.4
16.9750,292.4
16.9800,292.4
16.9850,292.4
16.9900,292.4
16.9950,292.4
17.0000,292.4
17.0050,292.4
17.0100,292.4
17.0150,292.4
17.0200,292.4
17.0250,292.4
17.0300,292.4
17.0350,292.4
17.0400,292.4
17.0450,292.3
17.0500,292.4
17.0550,292.3
17.0600,292.4
17.0650,292.3
17.0700,292.4
17.0750,292.3
17.0800,292.4
17.0850,292.4
17.0900,292.3
17.0950,292.3
17.1000,292.4
17.1050,292.3
17.1100,292.4
17.1150,292.3
17.1200,292.3
17.1250,292.3
17.1300,292.3
17.1350,292.3
17.1400,292.3
17.1450,292.3
17.1500,292.3
17.1550,292.3
17.1600,292.3
17.1650,292.3
17.1700,292.3
17.1750,292.3
17.1800,292.3
17.1850,292.3
17.1900,292.3
17.1950,292.3
17.2000,292.3
17.2050,292.3
17.2100,292.3
17.2150,292.3
17.2200,292.3
17.2250,292.3
17.2300,292.3
17.2350,292.3
17.2400,292.3
17.2450,292.3
17.2500,292.3
17.2550,292.3
17.2600,292.3
17.2650,292.3
17.2700,292.3
17.2750,292.3
17.2800,292.3
17.2850,292.3
17.2900,292.3
17.2950,292.3
17.3000,292.3
17.3050,292.3
17.3100,292.3
17.3150,292.3
17.3200,292.3
17.3250,292.3
17.3300,292.3
17.3350,292.3
17.3400,292.3
17.3450,292.3
17.3500,292.3
17.3550,292.3
17.3600,292.3
17.3650,292.3
17.3700,292.3
17.3750,292.3
17.3800,292.3
17.3850,292.3
17.3900,292.3
17.3950,292.3
17.4000,292.3
17.4050,292.3
17.4100,292.3
17.4150,292.3
17.4200,292.3
17.4250,292.3
17.4300,292.3
17.4350,292.3
17.4400,292.3
17.4450,292.3
17.4500,292.3
17.4550,292.3
17.4600,292.3
17.4650,292.3
17.4700,292.3
17.4750,292.3
17.4800,292.3
17.4850,292.3
17.4900,292.3
17.4950,292.3
17.5000,292.3
17.5050,292.3
17.5100,292.3
17.5150,292.3
17.5200,292.3
17.5250,292.3
17.5300,292.3
17.5350,292.3
17.5400,292.2
17.5450,292.3
17.5500,292.2
17.5550,292.3
17.5600,292.2
17.5650,292.2
17.5700,292.3
17.5750,292.2
17.5800,292.2
17.5850,292.3
17.5900,292.2
17.5950,292.2
17.6000,292.2
17.6050,292.2
17.6100,292.2
17.6150,292.2
17.6200,292.2
17.6250,292.2
17.6300,292.2
17.6350,292.2
17.6400,292.2
17.6450,292.2
17.6500,292.2
17.6550,292.2
17.6600,292.2
